Start_time,Number_trials,Number_rewards,Initial_hit_thresh,Last_hit_thresh,Initial_hold_time,Last_hold_time
06-August-2024 10:35:26,0,0,100,,1000.0,
06-August-2024 10:40:36,0,0,100,,1000.0,
06-August-2024 10:59:20,0,0,100,,1000.0,
06-August-2024 11:10:08,0,0,100,,1000.0,
06-August-2024 13:10:24,0,0,100,,1000.0,
06-August-2024 13:10:48,0,0,110.0,,1100.0,
06-August-2024 13:18:01,0,0,100,,1000.0,
06-August-2024 15:23:55,0,0,100,,1000.0,
06-August-2024 15:26:16,0,0,100,,1000.0,
07-August-2024 10:20:27,0,0,100,,1000.0,
07-August-2024 10:41:36,0,0,100,,1000.0,
07-August-2024 10:45:25,0,0,100,,1000.0,
07-August-2024 10:51:29,0,0,100,,1000.0,
07-August-2024 10:54:47,0,0,100,,1000.0,
07-August-2024 11:04:54,0,0,100,,1000.0,
07-August-2024 11:20:20,0,0,100,130.0,1000.0,1.3
07-August-2024 11:43:24,4,4,100,130.0,1000.0,1.3
07-August-2024 11:47:26,3,2,100,120.0,1000.0,1.2
07-August-2024 11:49:06,1,1,100,100.0,1000.0,1.0
07-August-2024 11:54:07,1,1,100,100.0,1000.0,1.0
07-August-2024 11:55:48,1,1,100,100.0,1000.0,1.0
07-August-2024 12:36:57,2,2,100,110.0,1000.0,1.1
07-August-2024 12:43:13,3,3,100,120.0,1000.0,1.2
07-August-2024 12:44:17,3,3,110.0,130.0,1100.0,1.3
07-August-2024 12:46:26,1,1,100,100.0,1000.0,1.0
07-August-2024 12:47:38,2,2,100,110.0,1000.0,1.1
07-August-2024 12:48:55,2,2,100,110.0,1000.0,1.1
07-August-2024 12:50:01,2,2,100,110.0,1000.0,1.1
07-August-2024 12:50:12,2,2,120.0,130.0,1200.0,1.3
07-August-2024 12:57:19,2,2,100,110.0,1000.0,1100.0
07-August-2024 12:58:28,4,4,90,130.0,900.0,1500.0
07-August-2024 12:59:01,5,5,130.0,130.0,1500.0,1500.0
08-August-2024 13:43:38,2,2,100.0,100,1000.0,1000
08-August-2024 13:59:14,6,4,100.0,100,1000.0,1000
08-August-2024 14:37:41,13,9,100.0,100.0,1000.0,1000.0
08-August-2024 16:48:58,3,1,100.0,100.0,1000.0,1000.0
